artist_id,mbtag
AR00A6H1187FB5402A,detroit
AR00A6H1187FB5402A,punk
AR00A6H1187FB5402A,michigan
AR00A6H1187FB5402A,usa
AR01VU31187B997DA0,hard rock
AR01VU31187B997DA0,rock
AR01VU31187B997DA0,american
AR01W2D1187FB5912F,united states
AR022JO1187B99587B,production music
AR02IU11187FB513F2,jazz
AR02IU11187FB513F2,latin
AR035N21187FB3938E,trance
AR035N21187FB3938E,electronic
AR035N21187FB3938E,progressive house
AR035N21187FB3938E,composer
AR035N21187FB3938E,film composer
AR03BDP1187FB5B324,pop
AR03BDP1187FB5B324,american
AR03BDP1187FB5B324,urban pop
AR03BDP1187FB5B324,dance
AR03BDP1187FB5B324,pop and chart
AR03BDP1187FB5B324,américain
AR03BDP1187FB5B324,electropop
AR03BDP1187FB5B324,usa
AR03BDP1187FB5B324,dance-pop
AR040M31187B98CA41,uk
AR040M31187B98CA41,british
AR040M31187B98CA41,english
AR040M31187B98CA41,dubstep
AR04KTB1187B99B6B7,rock and indie
AR050VJ1187B9B13A7,punk
AR050VJ1187B9B13A7,california
AR050VJ1187B9B13A7,san francisco
AR050VJ1187B9B13A7,rock and indie
AR050VJ1187B9B13A7,hardcore punk
AR050VJ1187B9B13A7,jello biafra
AR050VJ1187B9B13A7,hardcore
AR050VJ1187B9B13A7,usa
AR050VJ1187B9B13A7,80 s punk
AR05NQH1187B98E875,90s
AR05NQH1187B98E875,zouk
AR05NQH1187B98E875,80s
AR05OJD1187B9B99A6,wu-tang
AR05OJD1187B9B99A6,us
AR05OJD1187B9B99A6,hiphop
AR061J011A348F060F,méxico
AR061J011A348F060F,español
AR0693R1187FB59D32,world
AR06EB01187FB40150,american
AR06EB01187FB40150,punk
AR06EB01187FB40150,usa
AR06EB01187FB40150,punk rock
AR06EB01187FB40150,américain
AR06EB01187FB40150,hardcore punk
AR06EB01187FB40150,ska punk
AR06EB01187FB40150,los angeles
AR06EB01187FB40150,skate punk
AR06EB01187FB40150,rock
AR06M3F1187FB38BED,blues
AR07VS41187FB37944,uk
AR07VS41187FB37944,british
AR07VS41187FB37944,english
AR07VS41187FB37944,classic pop and rock
AR08GQF1187B98E316,metal
AR08GQF1187B98E316,death metal
AR08GQF1187B98E316,american
AR08GQF1187B98E316,industrial metal
AR08GQF1187B98E316,phonetic phail
AR08GQF1187B98E316,progressive metal
AR08GQF1187B98E316,gratuitous heavy metal umlaut
AR08GQF1187B98E316,thrash metal
AR0CANF1187B9AF35F,hip hop rnb and dance hall
AR0CANF1187B9AF35F,us
AR0CANF1187B9AF35F,hiphop
AR0CDSK1187FB52ED6,folk
AR0D6EL1187B9AF46B,hip hop
AR0DQEE1187B9A22DC,chinese
AR0FGL21187FB56301,jamaican
AR0G47L1187B98CC6D,production music
AR0IVSA1187FB4F069,rock and indie
AR0KBXO1187B996460,punk
AR0KBXO1187B996460,usa
AR0KBXO1187B996460,connecticut
AR0KBXO1187B996460,new haven
AR0LPDJ1187B9919F1,uk
AR0LPDJ1187B9919F1,northern irish
AR0LPDJ1187B9919F1,classical
AR0LPDJ1187B9919F1,production music
AR0N0DX1187FB41327,uk
AR0N0DX1187FB41327,asian
AR0N0DX1187FB41327,british asian
AR0N0DX1187FB41327,british
AR0N0DX1187FB41327,english
AR0N8D61187FB3D0D6,alternative
AR0N8D61187FB3D0D6,norwegian
AR0N9BV1187FB3AD01,american
AR0O3AV1187FB4D030,punk
AR0O3AV1187FB4D030,new york
AR0O3AV1187FB4D030,usa
AR0QS8F1187B9ADC96,mandarin
AR0QS8F1187B9ADC96,cantonese
AR0QS8F1187B9ADC96,cantopop
AR0QS8F1187B9ADC96,mandopop
AR0QS8F1187B9ADC96,hong kong
AR0QS8F1187B9ADC96,chinese
AR0S7TA1187FB4D024,pop and chart
AR0U44O1187B99007C,british
AR0U44O1187B99007C,english
AR0U44O1187B99007C,techno
AR0U44O1187B99007C,dance-punk
AR0U44O1187B99007C,alternative dance
AR0U44O1187B99007C,uk
AR0U44O1187B99007C,rock
AR0U44O1187B99007C,electronic
AR0U44O1187B99007C,electronica
AR0U44O1187B99007C,alternative rock
AR0V36F1187FB366B1,folk
AR0V36F1187FB366B1,celtic
AR0V36F1187FB366B1,irish folk
AR0V36F1187FB366B1,irish
AR0V36F1187FB366B1,breton
AR0VZWC1187B99BA57,grindcore
AR0WLH6119B8669027,united states
AR0XSOO1187B9B9E88,uk
AR0XSOO1187B9B9E88,punk
AR0XSOO1187B9B9E88,england
AR0XSOO1187B9B9E88,manchester
AR0XSOO1187B9B9E88,english
AR0XSOO1187B9B9E88,classic pop and rock
AR0XSOO1187B9B9E88,british
AR0ZBRM1187FB54F5E,folk
AR11NP91187B9901B4,folk
AR11NP91187B9901B4,rock
AR11NP91187B9901B4,american
AR11YQ81187FB3C654,country
AR11YQ81187FB3C654,folk
AR126G61187B9B88A6,mandarin
AR126G61187B9B88A6,cantonese
AR126G61187B9B88A6,hong kong
AR126G61187B9B88A6,chinese
AR12F2S1187FB56EEF,heavy metal
AR12F2S1187FB56EEF,hard rock
AR12F2S1187FB56EEF,rock
AR12F2S1187FB56EEF,metal
AR12F2S1187FB56EEF,american
AR12F2S1187FB56EEF,blues rock
AR12F2S1187FB56EEF,classic pop and rock
AR13CXU1187B9AD30A,uk
AR13CXU1187B9AD30A,british
AR13CXU1187B9AD30A,english
AR13CXU1187B9AD30A,classic pop and rock
AR13CXU1187B9AD30A,punk
AR13CXU1187B9AD30A,london
AR13CXU1187B9AD30A,rock
AR13CXU1187B9AD30A,england
AR13CXU1187B9AD30A,punk rock
AR15FQ11187FB36BE8,jamaican
AR15FQ11187FB36BE8,hip hop rnb and dance hall
AR15O341187B9B182C,greek
AR16GSC1187B9A6291,rock
AR16GSC1187B9A6291,folk rock
AR16GSC1187B9A6291,country rock
AR16GSC1187B9A6291,american
AR16GSC1187B9A6291,classic pop and rock
AR189B91187B9B8D9C,español
AR189B91187B9B8D9C,argentina
AR18AJW1187FB3F9FA,chinese
AR18AJW1187FB3F9FA,pop rock
AR18AJW1187FB3F9FA,mandarin
AR18AJW1187FB3F9FA,taiwanese
AR18SS11187FB4852B,industrial rock
AR18SS11187FB4852B,italian
AR18VAV1187B9AEC0C,rock and indie
AR190KO1187B9905EC,alternative rock
AR190KO1187B9905EC,australian
AR190KO1187B9905EC,rock
AR190KO1187B9905EC,post-grunge
AR198711187B9AD09F,classic pop and rock
AR19GQN1187FB3ACF5,pop and chart
AR19JS91187B98CB66,electronic
AR19JS91187B98CB66,german
AR19SOA1187B98F6E6,american
AR1ABAO1187FB531E1,hard rock
AR1ABAO1187FB531E1,shock rock
AR1ABAO1187FB531E1,glam rock
AR1ABAO1187FB531E1,metal
AR1ABAO1187FB531E1,garage rock
AR1ABAO1187FB531E1,american
